Scientific Name,Class,Order,Family,Trend,Status,Life Span (years),Length (cm),Weight (kg),Is Social,Is Nocturnal,Diet,Mating Behavior,Incubation Period (days),Baby Carrying,Independent Age (days),Africa,Antarctica,Asia,Europe,Oceania,South America,Central America,North America,Cold,Dry/Desert,Polar/Tundra,Temperate,Tropical
Glyptemys insculpta,2,57,emydidae,0,1,49.0,17.0,1.0,0,0,4,1,58.0,11.5,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Terrapene carolina carolina,2,57,emydidae,0,1,62.5,14.0,31.174407407407404,1,0,0,1,60.0,5.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,1
Vipera berus,2,53,viperidae,0,0,12.5,75.0,0.115,0,0,1,1,105.0,11.5,9.714285714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
Nerodia erythrogaster,2,53,colubridae,1,0,11.5,99.0,0.401,0,0,1,1,165.0,16.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Gloydius blomhoffii,2,53,viperidae,1,0,14.0,63.0,7.013792857142858,0,0,1,1,105.11304347826086,7.5,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,1,0
Corallus hortulanus,2,53,boidae,1,0,17.5,150.0,7.013792857142858,0,1,1,1,210.0,12.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Pantherophis guttatus,2,53,colubridae,1,0,14.5,121.5,7.013792857142858,0,1,1,1,70.0,18.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Basiliscus basiliscus,2,53,corytophanidae,1,0,4.5,76.0,0.1645,0,0,0,1,90.0,15.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Naja kaouthia,2,53,elapidae,0,0,16.5,100.0,7.013792857142858,0,0,1,1,64.0,24.5,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Bungarus multicinctus,2,53,elapidae,0,0,11.0,100.0,7.013792857142858,0,1,1,1,30.0,11.5,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
Charina bottae,2,53,boidae,1,0,18.5,61.0,7.013792857142858,0,1,1,1,150.0,9.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Pseudechis porphyriacus,2,53,elapidae,1,0,15.404929577464788,100.0,7.013792857142858,0,0,1,1,98.0,24.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,1,1
Opheodrys aestivus,2,53,colubridae,1,0,6.5,116.0,7.013792857142858,0,0,0,1,59.5,8.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Acanthophis antarcticus,2,53,elapidae,0,0,9.0,85.0,7.013792857142858,0,1,1,1,105.11304347826086,11.5,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,1,1
Thamnophis saurita,2,53,colubridae,1,0,10.5,65.0,7.013792857142858,0,0,1,1,105.11304347826086,15.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Macrochelys temminckii,2,57,chelydridae,1,1,45.0,58.0,44.0,0,1,0,1,120.0,30.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Notechis scutatus,2,53,elapidae,1,0,12.5,100.0,7.013792857142858,0,0,1,1,105.11304347826086,25.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,1,1
Pantherophis obsoletus,2,53,colubridae,1,0,12.5,144.5,1.0,0,0,1,1,67.5,16.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Eunectes notaeus,2,53,boidae,1,0,19.0,350.0,30.0,0,1,1,1,180.0,43.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1
Vipera ammodytes,2,53,viperidae,0,0,22.0,90.0,7.013792857142858,0,1,1,1,105.11304347826086,10.5,9.714285714285714,0,0,1,1,0,0,0,0,0,0,0,1,0
Crotalus atrox,2,53,viperidae,1,0,17.5,95.32765957446809,1.5,0,1,1,1,195.0,17.5,9.714285714285714,0,0,0,0,0,0,0,0,0,1,0,1,1
Diadophis punctatus,2,53,colubridae,1,0,13.0,31.5,7.013792857142858,1,1,1,1,105.11304347826086,6.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Trachemys scripta elegans,2,57,emydidae,1,0,30.0,17.5,31.174407407407404,1,0,0,1,85.5,16.0,196.80432558196833,0,0,0,0,0,0,0,0,0,0,0,1,0
Python bivittatus,2,53,pythonidae,0,1,22.5,500.0,90.0,0,1,1,1,70.0,24.0,9.714285714285714,0,0,1,0,0,0,0,0,0,0,0,1,1
Anolis carolinensis,2,53,dactyloidae,1,0,5.0,21.0,0.005,0,0,0,1,37.5,5.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,1
Hemachatus haemachatus,2,53,elapidae,1,0,22.5,100.0,8.0,0,1,1,1,165.0,27.5,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,1,1
Varanus giganteus,2,53,varanidae,1,0,17.5,150.0,17.5,0,0,0,1,315.0,9.0,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Pseudechis australis,2,53,elapidae,0,0,25.0,200.0,4.5,0,1,1,1,85.0,11.5,9.714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1
Thamnophis radix,2,53,colubridae,1,0,8.0,0.0,7.013792857142858,0,1,1,1,92.5,32.5,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Varanus exanthematicus,2,53,varanidae,1,0,10.5,130.0,35.5,0,0,1,1,165.0,30.0,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
Crotalus viridis,2,53,viperidae,1,0,20.0,125.5,7.013792857142858,0,1,1,1,105.11304347826086,13.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
Vipera aspis,2,53,viperidae,0,0,17.5,72.5,7.013792857142858,0,0,1,1,105.0,8.5,9.714285714285714,0,0,0,1,0,0,0,0,0,0,0,1,0
Python regius,2,53,pythonidae,1,0,17.5,113.5,2.0,0,1,1,1,57.5,7.0,9.714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,1
Thamnophis sirtalis sirtalis,2,53,colubridae,1,0,10.0,56.0,0.45299999999999996,0,1,1,1,75.0,25.0,9.714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
